row,simplified,target_level,sentence_col,sentence,offending_word,word_level
24,本,L1,sentence_1,本老师的话，你不能进。,的话,L3
24,本,L1,sentence_2,本老师的话来做。,的话,L3
32,不客气,L1,sentence_1,谢谢你！不客气。,客气,L4
32,不客气,L1,sentence_2,A：谢谢！B：不客气！,客气,L4
32,不客气,L1,sentence_3,帮了忙，他说不客气。,客气,L4
33,不客气,L1,sentence_1,A：吃饭吧！B：不客气，我吃了。,客气,L4
33,不客气,L1,sentence_2,她说不客气，不要送她。,客气,L4
33,不客气,L1,sentence_3,不客气，你不要来。,客气,L4
45,吃,L1,sentence_3,他吃了老师的话。,的话,L3
47,出租车,L1,sentence_1,我坐出租车去学校。,出租,L4
47,出租车,L1,sentence_2,他叫了一辆出租车。,出租,L4
47,出租车,L1,sentence_3,出租车很快来了。,出租,L4
55,大家,L1,sentence_3,那个人是大家。,个人,L5
75,电影院,L1,sentence_1,这里有一家电影院。,家电,L5
109,分,L1,sentence_1,他得了很高的分。,得了,L6
110,分,L1,sentence_2,这道题他得了高分。,得了,L6
142,好看,L1,sentence_1,得了这个，他很好看。,得了,L6
174,家,L1,sentence_1,我家有三个人。,个人,L5
199,看,L1,sentence_2,我看那个人。,个人,L5
203,可以,L1,sentence_1,我可以来吗？,以来,L5
224,零,L1,sentence_2,他有一点零钱。,零钱,L4
234,没关系,L1,sentence_1,没关系，你走吧。,关系,L3
234,没关系,L1,sentence_2,来晚了？没关系。,关系,L3
234,没关系,L1,sentence_3,错了没关系。,关系,L3
249,那,L1,sentence_2,那个人是我爸爸。,个人,L5
278,千,L1,sentence_3,一千个人来了。,个人,L5
290,人,L1,sentence_1,那个人是我爸爸。,个人,L5
292,认识,L1,sentence_2,你认识这个人吗？,个人,L5
295,三,L1,sentence_3,我们班有三个人。,个人,L5
302,上班,L1,sentence_1,爸爸每天上班。,天上,L5
303,上课,L1,sentence_1,我每天上课。,天上,L5
304,上午,L1,sentence_3,明天上午我上班。,天上,L5
305,上学,L1,sentence_1,我每天上学。,天上,L5
306,少,L1,sentence_3,今天来了几个人。,个人,L5
309,十,L1,sentence_3,这里有十个人。,个人,L5
326,四,L1,sentence_3,这里有四个人。,个人,L5
342,听见,L1,sentence_2,她听见了那个人说话。,个人,L5
345,外,L1,sentence_1,门外有一个人。,个人,L5
368,下午,L1,sentence_2,今天下午天气很好。,天下,L6
369,下雨,L1,sentence_1,今天下雨了。,天下,L6
397,雪,L1,sentence_1,今天下雪了。,天下,L6
399,要,L1,sentence_1,你要听老师的话。,的话,L3
