simplified	pinyin	pos	classifier	definition	new_hsk	sentence_1	translation_1	sentence_2	translation_2	sentence_3	translation_3
爱	ài	verb, verbal noun, non-predicate adjective		to love	L1	我爱你。	I love you.	她爱她的妈妈。	She loves her mom.	我爱中国。	I love China.
八	bā	numeral, time word		eight	L1	我有八个苹果。	I have eight apples.	他八岁。	He is eight years old.	桌子上有八个杯子。	There are eight cups on the table.
爸爸	bà ba	noun	个, 位	dad	L1	我爸爸在家。	My dad is at home.	她有一个好爸爸。	She has a good dad.	我爸爸喝茶。	My dad drinks tea.
吧	ba	modal particle		modal particle: softens a statement, suggestion, or confirms an assumption	L1	我们去吧。	Let's go.	你是学生吧？	You're a student, right?	他也来吧。	He'll come too, right?
白天	bái tiān	time word	个	daytime	L1	白天我在学校。	During the daytime I am at school.	白天很热。	The daytime is very hot.	他学了一个白天。	He studied for an entire daytime.
百	bǎi	numeral		hundred	L1	这里有一百个苹果。	There are one hundred apples here.	他有一百本书。	He has one hundred books.	他有一百块钱。	He has one hundred yuan.
半	bàn	numeral		half	L1	我喝了半杯水。	I drank half a cup of water.	桌子上有半个苹果。	There is half an apple on the table.	他吃了半个包子。	He ate half a steamed bun.
包子	bāo zi	noun	个	steamed stuffed bun	L1	我吃了一个包子。	I ate one steamed stuffed bun.	妈妈做了三个包子。	Mom made three steamed stuffed buns.	这个包子很好吃。	This steamed stuffed bun is very tasty.
杯子	bēi zi	noun	个, 只	cup	L1	我有一个杯子。	I have a cup.	这只杯子很好看。	This cup looks nice.	杯子里有茶。	There is tea in the cup.
杯子	bēi zi	noun	个, 只	glass	L1	这个杯子是她的。	This glass is hers.	她买了一只杯子。	She bought a glass.	杯子里有水。	There is water in the glass.
本	běn	pronoun, classifier, adverb, noun		measure word for books	L1	我有三本书。	I have three books.	她买了一本书。	She bought one book.	桌子上有两本书。	There are two books on the table.
边	biān	suffix, adverb, noun		side	L1	他坐在我边上。	He is sitting beside me.	桌子边有一个杯子。	There is a cup by the table.	他在水边玩。	He is playing by the water.
便宜	pián yi	adjective, verb, adjective-noun		inexpensive	L1	这件衣服很便宜。	This piece of clothing is very inexpensive.	超市的水果很便宜。	The fruit at the supermarket is very inexpensive.	这本书不贵，很便宜。	This book is not expensive — it's very inexpensive.
病	bìng	noun, verb		to fall ill	L1	他病了，不去上班。	He fell ill and is not going to work.	妈妈今天病了。	Mom fell ill today.	你病了吗？	Are you sick?
不	bù	adverb		no; not	L1	我不冷。	I am not cold.	这不是我的书。	This is not my book.	我不喝茶。	I do not drink tea.
不客气	bù kè qi	expression		you're welcome	L1	谢谢你！不客气。	Thank you! You're welcome.	他说不客气。	He said 'You're welcome.'	不客气，我很高兴。	You're welcome, I'm very happy.
不要	bù yào	adverb		don't (do something)	L1	不要去！	Don't go!	不要说话。	Don't talk.	不要吃那个。	Don't eat that.
不要	bù yào	adverb		don't want	L1	我不要这个。	I don't want this.	他不要那本书。	He doesn't want that book.	她不要喝茶。	She doesn't want to drink tea.
菜	cài	noun	道, 个	dish (type of food)	L1	妈妈做了菜。	Mom made some dishes.	这个菜很好吃。	This dish is very delicious.	桌子上有两个菜。	There are two dishes on the table.
菜	cài	noun		vegetables	L1	我吃了很多菜。	I ate a lot of vegetables.	妈妈买了很多菜。	Mom bought a lot of vegetables.	我们吃菜吧。	Let's eat vegetables.
茶	chá	noun, morpheme	杯	tea	L1	我喝一杯茶。	I drink a cup of tea.	爸爸喜欢喝茶。	Dad likes to drink tea.	桌子上有茶。	There is tea on the table.
唱	chàng	verb		to sing	L1	她唱歌很好听。	Her singing sounds very good.	我们都唱吧。	Let's all sing.	他唱了一首歌。	He sang a song.
超市	chāo shì	noun	家	supermarket	L1	我去超市买水果。	I am going to the supermarket to buy fruit.	这里有一家超市。	There is a supermarket here.	超市里有很多菜。	There are many vegetables in the supermarket.
车	chē	noun, classifier	辆	vehicle	L1	他有车。	He has a car.	他有一辆车。	He has one car.	我没有车。	I don't have a vehicle.
吃	chī	verb		to eat	L1	我吃饭。	I eat rice.	她吃了一个包子。	She ate a steamed stuffed bun.	你们都吃吧。	Everyone eat.
出租车	chū zū chē	noun	辆	taxi	L1	我坐出租车去学校。	I take a taxi to school.	我看到两辆出租车。	I saw two taxis.	出租车来了。	The taxi is here.
穿	chuān	verb		to put on	L1	她穿了新衣服。	She put on new clothes.	我穿了那件衣服。	I put on that piece of clothing.	你穿衣服吧。	Put on your clothes.
穿	chuān	verb		to wear	L1	她穿了一件衣服。	She is wearing a piece of clothing.	今天我穿了新衣服。	Today I am wearing new clothes.	他穿什么衣服？	What clothing is he wearing?
打电话	dǎ diàn huà	verb		to make a telephone call	L1	我想打电话给妈妈。	I want to make a phone call to mom.	他给我打电话。	He called me.	你打电话了吗？	Did you make the phone call?
大	dà	adjective, adverb, noun, morpheme		big	L1	这个苹果很大。	This apple is very big.	他的家很大。	His house is very big.	那只狗很大。	That dog is very big.
大家	dà jiā	pronoun, noun		everyone	L1	大家好！	Hello, everyone!	大家都喜欢他。	Everyone likes him.	大家来吃饭吧。	Everyone, come eat.
大学生	dà xué shēng	noun	个, 名	college student	L1	他是一个大学生。	He is a college student.	那个大学生很好。	That college student is very good.	我姐姐是大学生。	My older sister is a college student.
到	dào	verb, preposition		to arrive	L1	他到了学校。	He arrived at school.	妈妈到家了。	Mom arrived home.	我们到了那里。	We arrived there.
到	dào	verb, preposition		up to	L1	他学到了晚上。	He studied up to the evening.	我工作到了六点。	I worked up to six o'clock.	他们玩到了晚上。	They played up to the evening.
到	dào	verb, preposition		verb complement indicating achieved action	L1	他买到了那本书。	He managed to buy that book.	我找到了我的手机。	I found my phone.	她学到了很多东西。	She learned a lot of things.
